director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted,all_keywords
James Cameron,237000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",CCH Pounder,Avatar ,"['James Cameron', 'CCH Pounder', 'avatar', 'future', 'marine', 'native', 'paraplegic']",PG-13,Sci-Fi,"['James Cameron', 'CCH Pounder', 'avatar', 'future', 'marine', 'native', 'paraplegic']"
Gore Verbinski,300000000.0,"['Action', 'Adventure', 'Fantasy']",Johnny Depp,Pirates of the Caribbean: At World's End ,"['Gore Verbinski', 'Johnny Depp', 'goddess', 'marriage ceremony', 'marriage proposal', 'pirate', 'singapore']",PG-13,Action-Comedy,"['Gore Verbinski', 'Johnny Depp', 'goddess', 'marriage ceremony', 'marriage proposal', 'pirate', 'singapore']"
Sam Mendes,245000000.0,"['Action', 'Adventure', 'Thriller']",Christoph Waltz,Spectre ,"['Sam Mendes', 'Christoph Waltz', 'bomb', 'espionage', 'sequel', 'spy', 'terrorist']",PG-13,Action-Comedy,"['Sam Mendes', 'Christoph Waltz', 'bomb', 'espionage', 'sequel', 'spy', 'terrorist']"
Christopher Nolan,250000000.0,"['Action', 'Thriller']",Tom Hardy,The Dark Knight Rises ,"['Christopher Nolan', 'Tom Hardy', 'deception', 'imprisonment', 'lawlessness', 'police officer', 'terrorist plot']",PG-13,Action-Comedy,"['Christopher Nolan', 'Tom Hardy', 'deception', 'imprisonment', 'lawlessness', 'police officer', 'terrorist plot']"
Andrew Stanton,263700000.0,"['Action', 'Adventure', 'Sci-Fi']",Daryl Sabara,John Carter ,"['Andrew Stanton', 'Daryl Sabara', 'alien', 'american civil war', 'male nipple', 'mars', 'princess']",PG-13,Sci-Fi,"['Andrew Stanton', 'Daryl Sabara', 'alien', 'american civil war', 'male nipple', 'mars', 'princess']"
Sam Raimi,258000000.0,"['Action', 'Adventure', 'Romance']",J.K. Simmons,Spider-Man 3 ,"['Sam Raimi', 'J.K. Simmons', 'sandman', 'spider man', 'symbiote', 'venom', 'villain']",PG-13,Action-Comedy,"['Sam Raimi', 'J.K. Simmons', 'sandman', 'spider man', 'symbiote', 'venom', 'villain']"
Nathan Greno,260000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Brad Garrett,Tangled ,"['Nathan Greno', 'Brad Garrett', '17th century', 'based on fairy tale', 'disney', 'flower', 'tower']",PG,Animation,"['Nathan Greno', 'Brad Garrett', '17th century', 'based on fairy tale', 'disney', 'flower', 'tower']"
Joss Whedon,250000000.0,"['Action', 'Adventure', 'Sci-Fi']",Chris Hemsworth,Avengers: Age of Ultron ,"['Joss Whedon', 'Chris Hemsworth', 'artificial intelligence', 'based on comic book', 'captain america', 'marvel cinematic universe', 'superhero']",PG-13,Sci-Fi,"['Joss Whedon', 'Chris Hemsworth', 'artificial intelligence', 'based on comic book', 'captain america', 'marvel cinematic universe', 'superhero']"
David Yates,250000000.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",Alan Rickman,Harry Potter and the Half-Blood Prince ,"['David Yates', 'Alan Rickman', 'blood', 'book', 'love', 'potion', 'professor']",PG,Family,"['David Yates', 'Alan Rickman', 'blood', 'book', 'love', 'potion', 'professor']"
Zack Snyder,250000000.0,"['Action', 'Adventure', 'Sci-Fi']",Henry Cavill,Batman v Superman: Dawn of Justice ,"['Zack Snyder', 'Henry Cavill', 'based on comic book', 'batman', 'sequel to a reboot', 'superhero', 'superman']",PG-13,Sci-Fi,"['Zack Snyder', 'Henry Cavill', 'based on comic book', 'batman', 'sequel to a reboot', 'superhero', 'superman']"
