director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted
Norman Jewison,30000000.0,"['Comedy', 'Family', 'Fantasy']",Haley Joel Osment,Bogus ,"['box office flop', 'circus', 'imaginary friend', 'magician', 'one word title']",PG,Fantasy
Mark Steven Johnson,110000000.0,"['Action', 'Fantasy', 'Thriller']",Nicolas Cage,Ghost Rider ,"['blackheart', 'devil', 'father', 'ghost', 'mephistopheles']",PG-13,Fantasy
Steven Zaillian,60000000.0,['Drama'],Robert Duvall,A Civil Action ,"['1980s', 'law firm', 'lawsuit', 'lawyer', 'toxic waste']",PG-13,Drama
John Lee Hancock,29000000.0,"['Biography', 'Drama', 'Sport']",Catherine Dyer,The Blind Side ,"['american football', 'based on true story', 'football star', 'high school football', 'left tackle']",PG-13,Drama
Jonathan Demme,80000000.0,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Denzel Washington,The Manchurian Candidate ,"['brainwashed assassin', 'conspiracy', 'critically acclaimed', 'mother son relationship', 'soldier']",R,Sci-Fi
Peter Billingsley,60000000.0,['Comedy'],Jon Favreau,Couples Retreat ,"['couple', 'island', 'marriage', 'tropical', 'voyeurism']",PG-13,Comedy
Ethan Coen,38000000.0,"['Adventure', 'Drama', 'Western']",Matt Damon,True Grit ,"['arkansas', 'murder', 'sheriff', 'texas ranger', 'u.s. marshal']",PG-13,Adventure
Edward Zwick,70000000.0,"['Action', 'Thriller']",Denzel Washington,The Siege ,"['abduction', 'martial law', 'military', 'new york city', 'terrorist']",R,Thriller
Chris Rock,35200000.0,['Comedy'],Bernie Mac,Head of State ,"['alderman', 'party', 'president', 'presidential candidate', 'washington d.c.']",PG-13,Comedy
David Yates,250000000.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",Alan Rickman,Harry Potter and the Half-Blood Prince ,"['blood', 'book', 'love', 'potion', 'professor']",PG,Mystery
Frank Coraci,42000000.0,"['Action', 'Comedy', 'Sport']",Salma Hayek,Here Comes the Boom ,"['claim in title', 'high school', 'mixed martial arts', 'ultimate fighting championship', 'underdog']",PG,Sport
Sam Raimi,30000000.0,"['Horror', 'Thriller']",Bojana Novakovic,Drag Me to Hell ,"['evil', 'fight', 'hell', 'psychic', 'psychologist']",PG-13,Thriller
Mikael Salomon,70000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Morgan Freeman,Hard Rain ,"['dam', 'flood', 'money', 'police', 'sheriff']",R,Crime
Dean Parisot,84000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Bruce Willis,RED 2 ,"['cia', 'cia agent', 'rescue', 'russian', 'team']",PG-13,Comedy
Steven Soderbergh,52000000.0,"['Biography', 'Drama']",Julia Roberts,Erin Brockovich ,"['contamination', 'corporate crime', 'environmental issue', 'female protagonist', 'working single mother']",R,Biography
Baltasar Kormákur,55000000.0,"['Adventure', 'Biography', 'Drama', 'History', 'Sport', 'Thriller']",Michael Kelly,Everest ,"['blizzard', 'mount everest', 'mountain', 'mountain climbing', 'snow']",PG-13,Thriller
Wes Anderson,25000000.0,"['Adventure', 'Comedy', 'Crime', 'Drama']",Bill Murray,The Grand Budapest Hotel ,"['first person narration', 'hotel', 'lobby boy', 'mentor protege relationship', 'painting']",R,Adventure
Wolfgang Petersen,175000000.0,['Adventure'],Brad Pitt,Troy ,"['greek', 'mythology', 'prince', 'trojan', 'troy']",R,Adventure
Antoine Fuqua,61000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Tate Donovan,Shooter ,"['colonel', 'ethiopia', 'marksman', 'on the run', 'rangefinder']",R,Action
John Glen,32000000.0,"['Action', 'Adventure', 'Thriller']",Robert Davi,Licence to Kill ,"['drug cartel', 'drug lord', 'james bond 007', 'personal vendetta', 'vengeance']",PG-13,Thriller
J.J. Abrams,150000000.0,"['Action', 'Adventure', 'Thriller']",Philip Seymour Hoffman,Mission: Impossible III ,"['arms dealer', 'fictional government agency', 'mission', 'rescue', 'vatican']",PG-13,Thriller
Clark Johnson,80000000.0,"['Action', 'Adventure', 'Crime', 'Thriller']",Jeremy Renner,S.W.A.T. ,"['hostage', 'police', 'prison', 'swat team', 'training']",PG-13,Action
Ron Howard,100000000.0,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Thriller']",Chris Hemsworth,In the Heart of the Sea ,"['emaciation', 'ship', 'starvation', 'vomiting', 'whale']",PG-13,Drama
John Singleton,76000000.0,"['Action', 'Crime', 'Thriller']",Paul Walker,2 Fast 2 Furious ,"['bust', 'racing', 'shotgun', 'street racing', 'undercover agent']",PG-13,Crime
Martin Scorsese,30000000.0,"['Drama', 'Romance']",Richard E. Grant,The Age of Innocence ,"['19th century', 'countess', 'lawyer', 'love', 'new york']",PG,Drama
Wes Craven,35000000.0,"['Comedy', 'Horror']",Shannon Elizabeth,Cursed ,"['creature', 'death', 'party', 'rescue', 'werewolf']",PG-13,Horror
Roger Donaldson,35000000.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",Natasha Henstridge,Species ,"['alien', 'interspecies sex', 'scientist', 'sexual attraction', 'train']",R,Action
Michael McCullers,30000000.0,"['Comedy', 'Romance']",Tina Fey,Baby Mama ,"['baby', 'book', 'cartoon on tv', 'female protagonist', 'male anorexia']",PG-13,Comedy
Christian Duguay,40000000.0,"['Action', 'Adventure', 'Thriller']",Rufus Sewell,Extreme Ops ,"['commercial', 'extreme sports', 'mountain', 'serbian', 'terrorist']",PG-13,Action
Jason Reitman,25000000.0,"['Drama', 'Romance']",J.K. Simmons,Up in the Air ,"['airport', 'business trip', 'downsizing', 'on the road', 'travel']",R,Romance
Jonathan Hensleigh,33000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Laura Harring,The Punisher ,"['death', 'family reunion', 'fbi', 'fbi agent', 'vigilante']",R,Action
Steven Soderbergh,48000000.0,"['Crime', 'Drama', 'Romance', 'Thriller']",Don Cheadle,Out of Sight ,"['heist', 'neo noir', 'one last job', 'opposites attract', 'u.s. marshal']",R,Drama
Robert Schwentke,130000000.0,"['Action', 'Comedy', 'Fantasy']",Ryan Reynolds,R.I.P.D. ,"['drug dealer', 'gold', 'partner', 'police', 'undead']",PG-13,Fantasy
Clint Eastwood,50000000.0,"['Drama', 'Fantasy']",Matt Damon,Hereafter ,"['death', 'france', 'near death experience', 'tsunami', 'twin brother']",PG-13,Drama
Willard Huyck,35000000.0,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']",Lea Thompson,Howard the Duck ,"['alien', 'duck', 'laser', 'planet', 'singer']",PG,Romance
Ben Stiller,28000000.0,['Comedy'],Milla Jovovich,Zoolander ,"['fashion', 'malaysia', 'male model', 'reporter', 'rival']",PG-13,Comedy
David Ayer,68000000.0,"['Action', 'Drama', 'War']",Brad Pitt,Fury ,"['battle', 'battlefield', 'brutality', 'combat', 'tank']",R,War
John Singleton,35000000.0,"['Action', 'Mystery', 'Thriller']",Ken Arnold,Abduction ,"['assassin', 'high school', 'on the run', 'teenager', 'website']",PG-13,Mystery
Gabriele Muccino,55000000.0,"['Biography', 'Drama']",Will Smith,The Pursuit of Happyness ,"['bus', 'intern', 'internship', 'salesman', 'stockbroker']",PG-13,Biography
Brenda Chapman,70000000.0,"['Adventure', 'Animation', 'Biography', 'Drama', 'Family', 'Fantasy', 'Musical']",Martin Short,The Prince of Egypt ,"['ancient egypt', 'hebrew', 'nudity', 'pharaoh', 'title directed by female']",PG,Family
Kerry Conran,70000000.0,"['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']",Angelina Jolie Pitt,Sky Captain and the World of Tomorrow ,"['captain', 'pilot', 'reporter', 'robot', 'scientist']",PG,Mystery
Harold Ramis,48000000.0,"['Comedy', 'Fantasy', 'Romance']",Brendan Fraser,Bedazzled ,"['contract', 'devil', 'dream', 'soul', 'wish']",PG-13,Fantasy
Tate Taylor,30000000.0,"['Biography', 'Drama', 'Music']",Tika Sumpter,Get on Up ,"['1970s', '1980s', 'african american', 'breaking the fourth wall', 'mother son relationship']",PG-13,Drama
Nick Cassavetes,30000000.0,['Drama'],Jason Patric,My Sister's Keeper ,"['hospital', 'leukemia', 'oncology', 'sick child', 'terminal illness']",PG-13,Drama
Burr Steers,20000000.0,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",Matthew Perry,17 Again ,"['adult as child', 'father son relationship', 'high school student', 'janitor', 'school']",PG-13,Romance
Sergio Leone,30000000.0,"['Crime', 'Drama']",Robert De Niro,Once Upon a Time in America ,"['1920s', 'ambiguity', 'childhood friend', 'new york', 'speakeasy']",R,Drama
Peter Lord,55000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Salma Hayek,The Pirates! Band of Misfits ,"['charles darwin', 'cutlass', 'pirate', 'queen victoria', 'scientist']",PG,Comedy
Edward Norton,30000000.0,"['Comedy', 'Drama', 'Romance']",Lisa Edelstein,Keeping the Faith ,"['celibacy', 'jewish', 'priest', 'rabbi', 'synagogue']",PG-13,Comedy
Betty Thomas,43000000.0,"['Comedy', 'Drama']",Steve Buscemi,28 Days ,"['12 step program', 'box office hit', 'car accident', 'vomiting', 'wedding']",PG-13,Comedy
Rob Minkoff,145000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",Ty Burrell,Mr. Peabody & Sherman ,"['dog', 'father son relationship', 'inventor', 'talking dog', 'time travel']",PG,Adventure
Howard Deutch,50000000.0,"['Comedy', 'Sport']",Keanu Reeves,The Replacements ,"['coach', 'football player', 'misfits', 'strike', 'sumo wrestler']",PG-13,Comedy
Tim Miller,58000000.0,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']",Ryan Reynolds,Deadpool ,"['based on comic book', 'breaking the fourth wall', 'mercenary', 'mutant', 'self healing']",R,Romance
Mike Newell,65000000.0,['Drama'],Julia Roberts,Mona Lisa Smile ,"['art', 'college', 'school', 'student', 'wellesley college']",PG-13,Drama
M. Night Shyamalan,72000000.0,"['Drama', 'Sci-Fi', 'Thriller']",Rory Culkin,Signs ,"['crop circle', 'faith', 'farm', 'glass of water', 'loss of faith']",PG-13,Thriller
F. Gary Gray,53000000.0,"['Comedy', 'Crime', 'Music']",Dwayne Johnson,Be Cool ,"['concert', 'mobster', 'russian', 'sequel', 'widow']",PG-13,Music
Craig Gillespie,30000000.0,"['Comedy', 'Horror']",Grace Phipps,Fright Night ,"['neighbor', 'remake', 'suburb', 'teenager', 'vampire']",R,Horror
Albert Hughes,35000000.0,"['Horror', 'Mystery', 'Thriller']",Johnny Depp,From Hell ,"['freemason', 'jack the ripper', 'opium', 'prostitute', 'victorian era']",R,Horror
Babak Najafi,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Gerard Butler,London Has Fallen ,"['british', 'funeral', 'good versus evil', 'mole', 'sequel']",R,Thriller
Richard Donner,50000000.0,"['Action', 'Crime', 'Thriller']",Muse Watson,Assassins ,"['assassin', 'floppy disk', 'modem', 'rival', 'russian']",R,Action
F. Gary Gray,50000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Kevin Spacey,The Negotiator ,"['hostage', 'innocence', 'murder', 'negotiator', 'police']",R,Action
Dominic Sena,35000000.0,"['Action', 'Crime', 'Mystery', 'Thriller']",Tom Skerritt,Whiteout ,"['antarctica', 'geologist', 'investigation', 'u.s. marshal', 'winter']",R,Action
Brian De Palma,69000000.0,"['Crime', 'Mystery', 'Thriller']",Nicolas Cage,Snake Eyes ,"['assassination', 'boxing', 'casino', 'conspiracy', 'long take']",R,Mystery
Peter Segal,65000000.0,"['Comedy', 'Romance', 'Sci-Fi']",Larry Miller,Nutty Professor II: The Klumps ,"['alter ego', 'marriage', 'professor', 'scientist', 'serum']",PG-13,Comedy
Paul Haggis,35000000.0,"['Crime', 'Drama', 'Romance', 'Thriller']",Olivia Wilde,The Next Three Days ,"['argument', 'evidence', 'fingerprints', 'murder', 'murder weapon']",PG-13,Crime
David Koepp,35000000.0,"['Action', 'Crime', 'Thriller']",Joseph Gordon-Levitt,Premium Rush ,"['chase', 'courier', 'delivery', 'envelope', 'police']",PG-13,Crime
Adrian Lyne,50000000.0,"['Drama', 'Thriller']",Olivier Martinez,Unfaithful ,"['erotic thriller', 'infidelity', 'marital infidelity', 'unfaithfulness', ""wife's lover murdered by husband""]",R,Thriller
Tony Scott,100000000.0,"['Action', 'Crime', 'Thriller']",Denzel Washington,The Taking of Pelham 1 2 3 ,"['hijack', 'hostage', 'ransom', 'subway', 'train']",R,Action
Clint Eastwood,30000000.0,"['Drama', 'Sport']",Clint Eastwood,Million Dollar Baby ,"['boxing', 'boxing trainer', 'death', 'suicide attempt', 'women boxing']",PG-13,Drama
David R. Ellis,40000000.0,['Horror'],Krista Allen,The Final Destination ,"['attempted suicide', 'car crash', 'collapsing scaffold', 'overflowing bathtub', 'tooth knocked out']",R,Horror
Will Gluck,65000000.0,"['Comedy', 'Drama', 'Family', 'Musical']",Quvenzhané Wallis,Annie ,"['billionaire', 'business tycoon', 'mayoral candidate', 'penthouse', 'reference to star trek']",PG,Comedy
Tim Burton,200000000.0,"['Adventure', 'Family', 'Fantasy']",Johnny Depp,Alice in Wonderland ,"['alice in wonderland', 'mistaking reality for dream', 'queen', 'shrinking', 'shrinking potion']",PG,Fantasy
Akiva Goldsman,60000000.0,"['Drama', 'Fantasy', 'Mystery', 'Romance']",Matt Bomer,Winter's Tale ,"['black and white photograph', 'drawing with blood', 'falling through ice', 'playing piano', 'red haired woman']",PG-13,Fantasy
Chris Weitz,50000000.0,"['Adventure', 'Drama', 'Fantasy', 'Romance']",Robert Pattinson,The Twilight Saga: New Moon ,"['forks washington', 'protecting a woman', 'title same as book', 'vampire', 'werewolf']",PG-13,Adventure
Jean-Pierre Jeunet,75000000.0,"['Action', 'Horror', 'Sci-Fi']",Gary Dourdan,Alien: Resurrection ,"['alien', 'blood', 'breeding', 'clone', 'scientist']",R,Sci-Fi
Stephen Frears,47000000.0,"['Drama', 'Horror', 'Romance', 'Thriller']",Julia Roberts,Mary Reilly ,"['19th century', 'butler', 'housemaid', 'laboratory', 'servant']",R,Drama
Dominic Sena,80000000.0,"['Action', 'Crime', 'Thriller']",Hugh Jackman,Swordfish ,"['computer', 'secret agent', 'terrorism', 'told in flashback', 'wearing a sound wire']",R,Crime
John Francis Daley,31000000.0,"['Adventure', 'Comedy']",Chris Hemsworth,Vacation ,"['amusement park', 'dysfunctional family', 'road trip', 'sequel', 'vacation']",R,Comedy
Michael Apted,135000000.0,"['Action', 'Adventure', 'Thriller']",Colin Salmon,The World Is Not Enough ,"['british', 'oil', 'scientist', 'terrorist', 'tycoon']",PG-13,Adventure
Florent-Emilio Siri,52000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Jimmy Bennett,Hostage ,"['california', 'hostage', 'hostage negotiator', 'organized crime', 'police']",R,Crime
Nancy Meyers,35000000.0,"['Comedy', 'Drama']",Robert De Niro,The Intern ,"['reference to ben affleck', 'reference to brad pitt', 'reference to george clooney', 'reference to jack nicholson', 'website']",PG-13,Drama
John Glen,28000000.0,"['Action', 'Adventure', 'Thriller']",Julian Glover,For Your Eyes Only ,"['agent', 'british', 'ice skater', 'ship', 'spy']",PG,Adventure
Cameron Crowe,68000000.0,"['Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",Tom Cruise,Vanilla Sky ,"['death', 'dream', 'love', 'lynchian', 'reality']",R,Thriller
Dean Parisot,100000000.0,"['Comedy', 'Crime']",John Michael Higgins,Fun with Dick and Jane ,"['animal abuse', 'ceo', 'heist', 'suburb', 'unemployment']",PG-13,Comedy
Guy Ritchie,125000000.0,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,"['factory', 'gypsy', 'investigation', 'sherlock holmes', 'train']",PG-13,Crime
Edward Zwick,30000000.0,"['Comedy', 'Drama', 'Romance']",Jake Gyllenhaal,Love & Other Drugs ,"['female nudity', 'male objectification', 'pfizer', 'viagra', 'zoloft']",R,Comedy
Peter Hyams,52000000.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",David Oyelowo,A Sound of Thunder ,"['butterfly', 'hunter', 'time', 'time travel', 'wave']",PG-13,Action
Luis Mandoki,38000000.0,"['Drama', 'Romance']",Sonia Braga,Angel Eyes ,"['apartment', 'fate', 'gun', 'love', 'mysterious man']",R,Drama
David Fincher,65000000.0,"['Crime', 'Drama', 'History', 'Mystery', 'Thriller']",Robert Downey Jr.,Zodiac ,"['cartoonist', 'reporter', 'serial killer', 'zodiac', 'zodiac killer']",R,History
James Cameron,69500000.0,"['Adventure', 'Drama', 'Sci-Fi', 'Thriller']",Michael Biehn,The Abyss ,"['alien', 'estranged couple', 'ocean', 'submarine', 'underwater']",PG-13,Sci-Fi
Steven Spielberg,140000000.0,"['Adventure', 'Family', 'Fantasy']",Mark Rylance,The BFG ,"['cannibal', 'evil brother', 'giant', 'london england', 'queen']",PG,Fantasy
Pierre Morel,52000000.0,"['Action', 'Thriller']",Kasia Smutniak,From Paris with Love ,"['ambassador', 'cia', 'dinner', 'spy', 'terrorist']",R,Action
Robert Zemeckis,40000000.0,"['Adventure', 'Comedy', 'Sci-Fi']",Lea Thompson,Back to the Future Part II ,"['alternate timeline', 'same actor playing two characters simultaneously on screen', 'second part', 'year 2015', 'younger version of character']",PG,Comedy
Ron Howard,150000000.0,"['Mystery', 'Thriller']",Tom Hanks,Angels & Demons ,"['conclave', 'illuminati', 'murder', 'reference to bernini', 'reference to raphael']",PG-13,Mystery
Edward Zwick,100000000.0,"['Adventure', 'Drama', 'Thriller']",Leonardo DiCaprio,Blood Diamond ,"['diamond', 'elephant', 'fisherman', 'rebel', 'sierra leone']",R,Adventure
Anne Fletcher,40000000.0,"['Comedy', 'Drama']",Miriam Margolyes,The Guilt Trip ,"['cross country', 'love', 'mother son relationship', 'on the road', 'trip']",PG-13,Drama
Carl Rinsch,175000000.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",Keanu Reeves,47 Ronin ,"['box office flop', 'ronin', 'samurai', 'shogun', 'tournament']",PG-13,Fantasy
Bryan Singer,110000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Hugh Jackman,X-Men 2 ,"['mutant', 'prison', 'professor', 'school', 'x men']",PG-13,Fantasy
Chris Columbus,95000000.0,"['Adventure', 'Family', 'Fantasy']",Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,"['greek', 'lightning', 'lightning bolt', 'poseidon', 'teenager']",PG,Fantasy
Bille August,30000000.0,"['Biography', 'Drama', 'History']",Terry Pheto,The Color of Freedom ,"['african national congress', 'father daughter relationship', 'film starts with text', 'nelson mandela', 'violence']",R,History
Karey Kirkpatrick,55000000.0,"['Comedy', 'Drama', 'Family', 'Fantasy']",Stephen Root,Imagine That ,"['blanket', 'competition', 'family relationships', 'feather', 'sleepover']",PG,Family
Tim Burton,150000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Johnny Depp,Charlie and the Chocolate Factory ,"['chocolate', 'diminution', 'miniaturization', 'physical flexability', 'ticket']",PG,Adventure
Joseph Kosinski,170000000.0,"['Action', 'Adventure', 'Sci-Fi']",Jeff Bridges,TRON: Legacy ,"['arcade', 'bridge', 'disappearance', 'escape', 'warrior']",PG,Sci-Fi
Ulu Grosbard,40000000.0,['Drama'],Alexa PenaVega,The Deep End of the Ocean ,"['basketball', 'boy', 'italian', 'kidnapping a child', 'reunion']",PG-13,Drama
James Gunn,170000000.0,"['Action', 'Adventure', 'Sci-Fi']",Bradley Cooper,Guardians of the Galaxy ,"['bounty hunter', 'outer space', 'raccoon', 'talking animal', 'tree']",PG-13,Sci-Fi
Rawson Marshall Thurber,20000000.0,"['Comedy', 'Sport']",Gary Cole,Dodgeball: A True Underdog Story ,"['dodgeball', 'gym', 'las vegas', 'pirate', 'ups']",PG-13,Comedy
Roger Donaldson,116000000.0,"['Action', 'Adventure', 'Thriller']",Jamie Renée Smith,Dante's Peak ,"['ash', 'escape', 'lava', 'mayor', 'volcano']",PG-13,Adventure
Brad Bird,150000000.0,"['Animation', 'Comedy', 'Family', 'Fantasy']",Janeane Garofalo,Ratatouille ,"['chef', 'food', 'french', 'rat', 'restaurant']",G,Fantasy
George Tillman Jr.,32000000.0,"['Biography', 'Drama']",Robert De Niro,Men of Honor ,"['african american', 'amputee', 'navy', 'racial discrimination', 'racism']",R,Biography
Michael Caton-Jones,60000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Robert De Niro,City by the Sea ,"['beach', 'grandson', 'murder', 'new york city', 'police']",R,Thriller
Oliver Stone,50000000.0,"['Biography', 'Drama', 'History']",Anthony Hopkins,Nixon ,"['courtship', 'election', 'paranoia', 'president', 'quaker']",R,History
Kenny Ortega,28000000.0,"['Comedy', 'Family', 'Fantasy']",Vinessa Shaw,Hocus Pocus ,"['candle', 'cat', 'halloween', 'spell', 'virgin']",PG,Comedy
Rob Marshall,45000000.0,"['Comedy', 'Crime', 'Musical']",Colm Feore,Chicago ,"['fame', 'jail', 'jazz age', 'murder', 'vaudeville']",PG-13,Crime
Jay Roach,55000000.0,['Comedy'],Robert De Niro,Meet the Parents ,"['cat', 'cia', 'jewish', 'male nurse', 'nurse']",PG-13,Comedy
Gary Shore,70000000.0,"['Action', 'Drama', 'Fantasy', 'Horror', 'War']",Dominic Cooper,Dracula Untold ,"['death of wife', 'dracula', 'tarantula', 'turk', 'vampire']",PG-13,Fantasy
George A. Romero,8000000.0,"['Comedy', 'Fantasy', 'Horror']",Ted Danson,Creepshow ,"['anthology', 'child abuse', 'critically acclaimed', 'death', 'grindhouse']",R,Horror
