director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted
James Bobin,170000000.0,"['Adventure', 'Family', 'Fantasy']",Johnny Depp,Alice Through the Looking Glass ,"['clock', 'dark fantasy', 'mad hatter', 'queen', 'sequel']",PG,Family
Jon M. Chu,90000000.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",Daniel Radcliffe,Now You See Me 2 ,"['card trick', 'london england', 'magician', 'rain machine', 'rooftop']",PG-13,Mystery
Michael Mann,70000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Chris Hemsworth,Blackhat ,"['chinese', 'computer', 'cybercrime', 'hacker', 'one word title']",R,Mystery
Joel Schumacher,70000000.0,"['Drama', 'Musical', 'Romance', 'Thriller']",Gerard Butler,The Phantom of the Opera ,"['based on stage musical based on novel', 'disfigurement', 'mask', 'opera', 'singer']",PG-13,Musical
Peter Ramsey,145000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy']",Hugh Jackman,Rise of the Guardians ,"['belief', 'box office hit', 'children', 'new york city', 'tooth']",PG,Animation
Hayao Miyazaki,34000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy']",Rumi Hiiragi,Ponyo ,"['children adventure', 'magical realism', 'sea goddess', 'small town', 'tsunami']",G,Animation
Robert Zemeckis,90000000.0,"['Adventure', 'Drama', 'Romance']",Tom Hanks,Cast Away ,"['christmas', 'island', 'love', 'survival', 'talking to inanimate object']",PG-13,Adventure
Clint Eastwood,50000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Clint Eastwood,Blood Work ,"['boat', 'heart transplant', 'murder', 'serial killer', 'sister']",R,Mystery
Demian Lichtenstein,42000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Jon Lovitz,3000 Miles to Graceland ,"['casino', 'elvis impersonator', 'gun', 'heist', 'rascal']",R,Rom-Com
Steven Spielberg,52000000.0,"['Biography', 'Crime', 'Drama']",Leonardo DiCaprio,Catch Me If You Can ,"['attorney', 'cat and mouse', 'fbi', 'pan am', 'pilot']",PG-13,Biography
Jacques Perrin,40000000.0,"['Documentary', 'Drama']",Pedro Armendáriz Jr.,Oceans ,"['damselfish', 'ocean habitat', 'ocean life', 'razorfish', 'spider crab']",G,History
Alan Parker,50000000.0,"['Crime', 'Drama', 'Thriller']",Kevin Spacey,The Life of David Gale ,"['activist', 'death', 'death row', 'murder', 'texas']",R,Crime
Phil Lord,50000000.0,"['Action', 'Comedy', 'Crime']",Channing Tatum,22 Jump Street ,"['college', 'drugs', 'hidden camera', 'tattoo', 'undercover']",R,Rom-Com
Harald Zwart,60000000.0,"['Fantasy', 'Horror', 'Mystery', 'Romance']",Aidan Turner,The Mortal Instruments: City of Bones ,"['battle', 'demon', 'magic', 'secret', 'warrior']",PG-13,Horror
Jay Chandrasekhar,50000000.0,"['Action', 'Adventure', 'Comedy']",Alice Greczyn,The Dukes of Hazzard ,"['1969 dodge charger', 'bikini', 'farm', 'misogynist', 'tow truck']",PG-13,Rom-Com
James Mangold,28000000.0,"['Biography', 'Drama', 'Music', 'Romance']",Sandra Ellis Lafferty,Walk the Line ,"['1960s', 'accident', 'concert', 'guitar', 'prison']",PG-13,Biography
Pierre Coffin,76000000.0,"['Animation', 'Comedy', 'Family', 'Sci-Fi']",Steve Carell,Despicable Me 2 ,"['dating', 'minion', 'overprotective father', 'undercover spy', 'woman agent']",PG,Animation
John Frankenheimer,40000000.0,"['Horror', 'Sci-Fi', 'Thriller']",Marlon Brando,The Island of Dr. Moreau ,"['animal experimentation', 'chimera', 'island', 'jungle', 'mutant']",PG-13,Horror
Sean Penn,45000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Costas Mandylor,The Pledge ,"['nevada', 'pledge', 'police', 'porcupine', 'search']",R,Mystery
Jesse Dylan,45000000.0,"['Comedy', 'Family', 'Romance', 'Sport']",Josh Hutcherson,Kicking & Screaming ,"['book', 'child', 'slapstick comedy', 'soccer', 'suburb']",PG,Sport
Todd Phillips,35000000.0,['Comedy'],Bradley Cooper,The Hangover ,"['drunkenness', 'female nudity', 'hangover', 'hedonism', 'morning after']",R,Comedy
Irwin Winkler,60000000.0,"['Drama', 'Romance']",Mira Sorvino,At First Sight ,"['based on article', 'blindness', 'box office flop', 'massage therapist', 'regaining sight']",PG-13,Drama
Hugh Wilson,35000000.0,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']",Brendan Fraser,Blast from the Past ,"['1960s', 'bomb shelter', 'cuban missile crisis', 'food', 'naive man']",PG-13,Sci-Fi
Stephen Hopkins,35000000.0,"['Action', 'Horror', 'Sci-Fi']",Adam Baldwin,Predator 2 ,"['alien', 'drug lord', 'gang', 'hunter', 'predator']",R,Horror
Zack Snyder,225000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Henry Cavill,Man of Steel ,"['based on comic book', 'british actor playing american character', 'final battle', 'origin of hero', 'reboot']",PG-13,Sci-Fi
Ang Lee,120000000.0,"['Adventure', 'Drama', 'Fantasy']",Suraj Sharma,Life of Pi ,"['animal', 'faith', 'india', 'journey', 'tiger']",PG,Adventure
Antony Hoffman,70000000.0,"['Action', 'Sci-Fi', 'Thriller']",Bob Neill,Red Planet ,"['astronaut', 'mars', 'robot', 'robot as menace', 'survival']",PG-13,Sci-Fi
Ted Kotcheff,14000000.0,"['Action', 'Adventure', 'Drama']",Sylvester Stallone,First Blood ,"['1980s', 'colonel', 'deputy', 'rambo', 'sheriff']",R,Action-Comedy
Don Scardino,30000000.0,['Comedy'],Steve Buscemi,The Incredible Burt Wonderstone ,"['magic', 'magic kit', 'magician', 'stage magician', 'vegas']",PG-13,Comedy
Alexander Witt,45000000.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",Milla Jovovich,Resident Evil: Apocalypse ,"['cover up', 'monster', 'strong female character', 'strong female lead', 'zombie apocalypse']",R,Horror
Stanley Kubrick,2000000.0,"['Crime', 'Drama', 'Romance']",James Mason,Lolita ,"['lolita', 'nymphet', 'older man young girl relationship', 'professor', 'writer']",Not Rated,Crime
Roman Polanski,45000000.0,"['Mystery', 'Thriller']",Jim Belushi,The Ghost Writer ,"['british prime minister', 'death', 'island', 'memoir', 'writer']",PG-13,Mystery
Lawrence Kasdan,68000000.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",Morgan Freeman,Dreamcatcher ,"['alien', 'friend', 'maine', 'military', 'woods']",R,Horror
John Lee Hancock,107000000.0,"['Drama', 'History', 'War', 'Western']",Dennis Quaid,The Alamo ,"['army', 'dictator', 'general', 'texan', 'texas']",PG-13,War
Sergio Leone,30000000.0,"['Crime', 'Drama']",Robert De Niro,Once Upon a Time in America ,"['1920s', 'ambiguity', 'childhood friend', 'new york', 'speakeasy']",R,Crime
Dennis Dugan,80000000.0,"['Comedy', 'Romance']",Adam Sandler,Just Go with It ,"['chick flick', 'hawaii', 'love', 'plastic surgeon', 'woman wearing a string bikini']",PG-13,Rom-Com
Marc Forster,30000000.0,"['Action', 'Biography', 'Crime', 'Drama']",Gerard Butler,Machine Gun Preacher ,"['africa', 'biker', 'church', 'orphanage', 'preacher']",R,Biography
Kelly Asbury,80000000.0,"['Adventure', 'Animation', 'Family', 'Western']",Matt Damon,Spirit: Stallion of the Cimarron ,"['cavalry', 'escape', 'herd', 'stallion', 'wild stallion']",G,Western
Seth Gordon,80000000.0,"['Comedy', 'Drama', 'Romance']",Jon Favreau,Four Christmases ,"['airport', 'christmas', 'news broadcast', 'tv broadcast', 'tv news']",PG-13,Rom-Com
Don Hall,165000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",Damon Wayans Jr.,Big Hero 6 ,"['high tech', 'martial arts', 'masked man', 'robot', 'superhero']",PG,Animation
Anthony Minghella,27000000.0,"['Drama', 'Romance', 'War']",Colin Firth,The English Patient ,"['church', 'english', 'flashback', 'nurse', 'patient']",R,War
Tom McGrath,130000000.0,"['Action', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",J.K. Simmons,Megamind ,"['battle', 'city', 'planet', 'prison', 'superhero']",PG,Animation
Jonathan Mostow,80000000.0,"['Action', 'Sci-Fi', 'Thriller']",Bruce Willis,Surrogates ,"['android', 'fbi agent', 'future', 'murder', 'robot']",PG-13,Sci-Fi
Gary Chapman,35000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'War']",Jim Broadbent,Valiant ,"['dove', 'falcon', 'nursing', 'pigeon', 'psychological torture']",G,War
Tony Scott,92000000.0,"['Action', 'Crime', 'Thriller']",Brad Pitt,Spy Game ,"['china', 'cia', 'cold war', 'friendship', 'retirement']",R,Action-Comedy
Alejandro Amenábar,70000000.0,"['Adventure', 'Drama', 'History', 'Romance']",Max Minghella,Agora ,"['christian', 'love', 'philosophy', 'prefect', 'slave']",R,History
Paul Feig,144000000.0,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",Ed Begley Jr.,Ghostbusters ,"['ghost', 'ghostbuster', 'ghostbusters', 'male objectification', 'reboot']",PG-13,Sci-Fi
David R. Ellis,33000000.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",Lin Shaye,Snakes on a Plane ,"['baby rattle', 'famous line', 'murder', 'passenger', 'snake']",R,Action-Comedy
Frank Marshall,31000000.0,"['Comedy', 'Fantasy', 'Horror', 'Thriller']",Julian Sands,Arachnophobia ,"['arachnophobia', 'death', 'doctor', 'small town', 'spider']",PG-13,Horror
Babak Najafi,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Gerard Butler,London Has Fallen ,"['british', 'funeral', 'good versus evil', 'mole', 'sequel']",R,Action-Comedy
Carlos Saldanha,80000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Denis Leary,Ice Age: The Meltdown ,"['flood', 'mammoth', 'no opening credits', 'squirrel', 'valley']",PG,Animation
Justin Zackham,35000000.0,['Comedy'],Robin Williams,The Big Wedding ,"['adoption', 'divorce', 'family relationships', 'farce', 'wedding']",R,Comedy
Jon Amiel,66000000.0,"['Action', 'Crime', 'Romance', 'Thriller']",Will Patton,Entrapment ,"['art thief', 'insurance', 'mask', 'master thief', 'reference to iron maiden']",PG-13,Action-Comedy
Wes Anderson,21000000.0,"['Comedy', 'Drama']",Bill Murray,The Royal Tenenbaums ,"['brother brother relationship', 'family relationships', 'father daughter relationship', 'genius', 'thrown through a window']",R,Rom-Com
Rob Minkoff,90000000.0,"['Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery']",Marsha Thomason,The Haunted Mansion ,"['arachnophobia', 'crystal ball', 'ghost', 'haunted house', 'thunderstorm']",PG,Horror
Peter Hewitt,29000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Jim Broadbent,The Borrowers ,"[""child's point of view"", 'house', 'lawyer', 'real estate', 'washing machine']",PG,Family
Ken Kwapis,35000000.0,"['Comedy', 'Romance']",Robin Williams,License to Wed ,"['box office flop', 'church', 'kissing', 'usa', 'wedding']",PG-13,Rom-Com
Garry Marshall,52000000.0,"['Comedy', 'Romance']",Bradley Cooper,Valentine's Day ,"['flower', 'indian restaurant', 'tv station', 'valentine', ""valentine's day""]",PG-13,Rom-Com
Josh Gordon,61000000.0,"['Comedy', 'Sport']",Will Ferrell,Blades of Glory ,"['competition', 'fight', 'ice', 'jock strap', 'nintendo game boy advance']",PG-13,Sport
Richard LaGravenese,30000000.0,"['Drama', 'Romance']",Gerard Butler,P.S. I Love You ,"['birthday', 'friendship', 'hairy chest', 'letter', 'widow']",PG-13,Drama
John Pasquin,45000000.0,"['Action', 'Comedy', 'Crime']",Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,"['bodyguard', 'fbi', 'fbi agent', 'female protagonist', 'undercover']",PG-13,Rom-Com
Roland Emmerich,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Oliver Platt,2012 ,"['ark', 'catastrophe', 'geologist', 'president', 'writer']",PG-13,Sci-Fi
Gary Ross,78000000.0,"['Adventure', 'Drama', 'Sci-Fi', 'Thriller']",Jennifer Lawrence,The Hunger Games ,"['fight to the death', 'game', 'massacre', 'self survival', 'suicide attempt']",PG-13,Sci-Fi
Paul W.S. Anderson,60000000.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",Milla Jovovich,Resident Evil: Afterlife ,"['alaska', 'female gunfighter', 'mutation', 'ship', 'siege']",R,Horror
Will Finn,110000000.0,"['Animation', 'Comedy', 'Family', 'Music', 'Western']",Steve Buscemi,Home on the Range ,"['cattle', 'cow', 'dairy farm', 'farm', 'rustler']",PG,Western
Jay Roach,55000000.0,['Comedy'],Robert De Niro,Meet the Parents ,"['cat', 'cia', 'jewish', 'male nurse', 'nurse']",PG-13,Comedy
Gavin O'Connor,30000000.0,"['Crime', 'Drama', 'Thriller']",Jennifer Ehle,Pride and Glory ,"['brother in law', 'corruption', 'drug dealer', 'drugs', 'police']",R,Crime
Robert Schwentke,130000000.0,"['Action', 'Comedy', 'Fantasy']",Ryan Reynolds,R.I.P.D. ,"['drug dealer', 'gold', 'partner', 'police', 'undead']",PG-13,Rom-Com
Mikael Salomon,70000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Morgan Freeman,Hard Rain ,"['dam', 'flood', 'money', 'police', 'sheriff']",R,Action-Comedy
James Wong,49000000.0,"['Action', 'Sci-Fi', 'Thriller']",Jason Statham,The One ,"['fight', 'multiverse', 'police', 'police officer', 'prison']",PG-13,Sci-Fi
Anthony Hemingway,58000000.0,"['Action', 'Adventure', 'Drama', 'History', 'War']",David Oyelowo,Red Tails ,"['african american', 'battle', 'italy', 'tuskegee airmen', 'world war two']",PG-13,War
Marc Lawrence,60000000.0,"['Comedy', 'Romance']",Dorian Missick,Two Weeks Notice ,"['developer', 'divorce', 'lawyer', 'love', 'new york city']",PG-13,Rom-Com
Frank Oz,55000000.0,['Comedy'],Robert Downey Jr.,Bowfinger ,"['film within a film', 'filmmaking', 'guerrilla filmmaking', 'making of a movie', 'scientology parody']",PG-13,Comedy
Rob Letterman,58000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",Odeya Rush,Goosebumps ,"['based on book', 'blob', 'ferris wheel', 'manuscript', 'monster']",PG,Horror
