director_name,budget,genres,actor_1_name,movie_title,plot_keywords,content_rating,genre_adjusted,log_budget,all_keywords
James Bobin,170000000.0,"['Adventure', 'Family', 'Fantasy']",Johnny Depp,Alice Through the Looking Glass ,"['clock', 'dark fantasy', 'mad hatter', 'queen', 'sequel']",PG,Family,18.951308995,"['James Bobin', 'Johnny Depp', 'clock', 'dark', 'fantasy', 'mad', 'hatter', 'queen', 'sequel']"
Jon M. Chu,90000000.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",Daniel Radcliffe,Now You See Me 2 ,"['card trick', 'london england', 'magician', 'rain machine', 'rooftop']",PG-13,Mystery,18.3153202283,"['Jon M. Chu', 'Daniel Radcliffe', 'card', 'trick', 'london', 'england', 'magician', 'rain', 'machine', 'rooftop']"
Michael Mann,70000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Chris Hemsworth,Blackhat ,"['chinese', 'computer', 'cybercrime', 'hacker', 'one word title']",R,Mystery,18.0640058,"['Michael Mann', 'Chris Hemsworth', 'chinese', 'computer', 'cybercrime', 'hacker', 'one', 'word', 'title']"
Joel Schumacher,70000000.0,"['Drama', 'Musical', 'Romance', 'Thriller']",Gerard Butler,The Phantom of the Opera ,"['based on stage musical based on novel', 'disfigurement', 'mask', 'opera', 'singer']",PG-13,Musical,18.0640058,"['Joel Schumacher', 'Gerard Butler', 'based', 'on', 'stage', 'musical', 'based', 'on', 'novel', 'disfigurement', 'mask', 'opera', 'singer']"
Peter Ramsey,145000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy']",Hugh Jackman,Rise of the Guardians ,"['belief', 'box office hit', 'children', 'new york city', 'tooth']",PG,Animation,18.7922443004,"['Peter Ramsey', 'Hugh Jackman', 'belief', 'box', 'office', 'hit', 'children', 'new', 'york', 'city', 'tooth']"
Hayao Miyazaki,34000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy']",Rumi Hiiragi,Ponyo ,"['children adventure', 'magical realism', 'sea goddess', 'small town', 'tsunami']",G,Animation,17.3418710826,"['Hayao Miyazaki', 'Rumi Hiiragi', 'children', 'adventure', 'magical', 'realism', 'sea', 'goddess', 'small', 'town', 'tsunami']"
Robert Zemeckis,90000000.0,"['Adventure', 'Drama', 'Romance']",Tom Hanks,Cast Away ,"['christmas', 'island', 'love', 'survival', 'talking to inanimate object']",PG-13,Adventure,18.3153202283,"['Robert Zemeckis', 'Tom Hanks', 'christmas', 'island', 'love', 'survival', 'talking', 'to', 'inanimate', 'object']"
Clint Eastwood,50000000.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Clint Eastwood,Blood Work ,"['boat', 'heart transplant', 'murder', 'serial killer', 'sister']",R,Mystery,17.7275335634,"['Clint Eastwood', 'Clint Eastwood', 'boat', 'heart', 'transplant', 'murder', 'serial', 'killer', 'sister']"
Demian Lichtenstein,42000000.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Jon Lovitz,3000 Miles to Graceland ,"['casino', 'elvis impersonator', 'gun', 'heist', 'rascal']",R,Rom-Com,17.5531801762,"['Demian Lichtenstein', 'Jon Lovitz', 'casino', 'elvis', 'impersonator', 'gun', 'heist', 'rascal']"
Steven Spielberg,52000000.0,"['Biography', 'Crime', 'Drama']",Leonardo DiCaprio,Catch Me If You Can ,"['attorney', 'cat and mouse', 'fbi', 'pan am', 'pilot']",PG-13,Biography,17.7667542765,"['Steven Spielberg', 'Leonardo DiCaprio', 'attorney', 'cat', 'and', 'mouse', 'fbi', 'pan', 'am', 'pilot']"
Jacques Perrin,40000000.0,"['Documentary', 'Drama']",Pedro Armendáriz Jr.,Oceans ,"['damselfish', 'ocean habitat', 'ocean life', 'razorfish', 'spider crab']",G,History,17.5043900121,"['Jacques Perrin', 'Pedro Armend\xc3\xa1riz Jr.', 'damselfish', 'ocean', 'habitat', 'ocean', 'life', 'razorfish', 'spider', 'crab']"
Alan Parker,50000000.0,"['Crime', 'Drama', 'Thriller']",Kevin Spacey,The Life of David Gale ,"['activist', 'death', 'death row', 'murder', 'texas']",R,Crime,17.7275335634,"['Alan Parker', 'Kevin Spacey', 'activist', 'death', 'death', 'row', 'murder', 'texas']"
Phil Lord,50000000.0,"['Action', 'Comedy', 'Crime']",Channing Tatum,22 Jump Street ,"['college', 'drugs', 'hidden camera', 'tattoo', 'undercover']",R,Rom-Com,17.7275335634,"['Phil Lord', 'Channing Tatum', 'college', 'drugs', 'hidden', 'camera', 'tattoo', 'undercover']"
Harald Zwart,60000000.0,"['Fantasy', 'Horror', 'Mystery', 'Romance']",Aidan Turner,The Mortal Instruments: City of Bones ,"['battle', 'demon', 'magic', 'secret', 'warrior']",PG-13,Horror,17.9098551202,"['Harald Zwart', 'Aidan Turner', 'battle', 'demon', 'magic', 'secret', 'warrior']"
Jay Chandrasekhar,50000000.0,"['Action', 'Adventure', 'Comedy']",Alice Greczyn,The Dukes of Hazzard ,"['1969 dodge charger', 'bikini', 'farm', 'misogynist', 'tow truck']",PG-13,Rom-Com,17.7275335634,"['Jay Chandrasekhar', 'Alice Greczyn', '1969', 'dodge', 'charger', 'bikini', 'farm', 'misogynist', 'tow', 'truck']"
James Mangold,28000000.0,"['Biography', 'Drama', 'Music', 'Romance']",Sandra Ellis Lafferty,Walk the Line ,"['1960s', 'accident', 'concert', 'guitar', 'prison']",PG-13,Biography,17.1477150681,"['James Mangold', 'Sandra Ellis Lafferty', '1960s', 'accident', 'concert', 'guitar', 'prison']"
Pierre Coffin,76000000.0,"['Animation', 'Comedy', 'Family', 'Sci-Fi']",Steve Carell,Despicable Me 2 ,"['dating', 'minion', 'overprotective father', 'undercover spy', 'woman agent']",PG,Animation,18.1462438983,"['Pierre Coffin', 'Steve Carell', 'dating', 'minion', 'overprotective', 'father', 'undercover', 'spy', 'woman', 'agent']"
John Frankenheimer,40000000.0,"['Horror', 'Sci-Fi', 'Thriller']",Marlon Brando,The Island of Dr. Moreau ,"['animal experimentation', 'chimera', 'island', 'jungle', 'mutant']",PG-13,Horror,17.5043900121,"['John Frankenheimer', 'Marlon Brando', 'animal', 'experimentation', 'chimera', 'island', 'jungle', 'mutant']"
Sean Penn,45000000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Costas Mandylor,The Pledge ,"['nevada', 'pledge', 'police', 'porcupine', 'search']",R,Mystery,17.6221730477,"['Sean Penn', 'Costas Mandylor', 'nevada', 'pledge', 'police', 'porcupine', 'search']"
Jesse Dylan,45000000.0,"['Comedy', 'Family', 'Romance', 'Sport']",Josh Hutcherson,Kicking & Screaming ,"['book', 'child', 'slapstick comedy', 'soccer', 'suburb']",PG,Sport,17.6221730477,"['Jesse Dylan', 'Josh Hutcherson', 'book', 'child', 'slapstick', 'comedy', 'soccer', 'suburb']"
Todd Phillips,35000000.0,['Comedy'],Bradley Cooper,The Hangover ,"['drunkenness', 'female nudity', 'hangover', 'hedonism', 'morning after']",R,Comedy,17.3708586195,"['Todd Phillips', 'Bradley Cooper', 'drunkenness', 'female', 'nudity', 'hangover', 'hedonism', 'morning', 'after']"
Irwin Winkler,60000000.0,"['Drama', 'Romance']",Mira Sorvino,At First Sight ,"['based on article', 'blindness', 'box office flop', 'massage therapist', 'regaining sight']",PG-13,Drama,17.9098551202,"['Irwin Winkler', 'Mira Sorvino', 'based', 'on', 'article', 'blindness', 'box', 'office', 'flop', 'massage', 'therapist', 'regaining', 'sight']"
Hugh Wilson,35000000.0,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']",Brendan Fraser,Blast from the Past ,"['1960s', 'bomb shelter', 'cuban missile crisis', 'food', 'naive man']",PG-13,Sci-Fi,17.3708586195,"['Hugh Wilson', 'Brendan Fraser', '1960s', 'bomb', 'shelter', 'cuban', 'missile', 'crisis', 'food', 'naive', 'man']"
Stephen Hopkins,35000000.0,"['Action', 'Horror', 'Sci-Fi']",Adam Baldwin,Predator 2 ,"['alien', 'drug lord', 'gang', 'hunter', 'predator']",R,Horror,17.3708586195,"['Stephen Hopkins', 'Adam Baldwin', 'alien', 'drug', 'lord', 'gang', 'hunter', 'predator']"
Zack Snyder,225000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Henry Cavill,Man of Steel ,"['based on comic book', 'british actor playing american character', 'final battle', 'origin of hero', 'reboot']",PG-13,Sci-Fi,19.2316109602,"['Zack Snyder', 'Henry Cavill', 'based', 'on', 'comic', 'book', 'british', 'actor', 'playing', 'american', 'character', 'final', 'battle', 'origin', 'of', 'hero', 'reboot']"
Ang Lee,120000000.0,"['Adventure', 'Drama', 'Fantasy']",Suraj Sharma,Life of Pi ,"['animal', 'faith', 'india', 'journey', 'tiger']",PG,Adventure,18.6030023007,"['Ang Lee', 'Suraj Sharma', 'animal', 'faith', 'india', 'journey', 'tiger']"
Antony Hoffman,70000000.0,"['Action', 'Sci-Fi', 'Thriller']",Bob Neill,Red Planet ,"['astronaut', 'mars', 'robot', 'robot as menace', 'survival']",PG-13,Sci-Fi,18.0640058,"['Antony Hoffman', 'Bob Neill', 'astronaut', 'mars', 'robot', 'robot', 'as', 'menace', 'survival']"
Ted Kotcheff,14000000.0,"['Action', 'Adventure', 'Drama']",Sylvester Stallone,First Blood ,"['1980s', 'colonel', 'deputy', 'rambo', 'sheriff']",R,Action-Comedy,16.4545678876,"['Ted Kotcheff', 'Sylvester Stallone', '1980s', 'colonel', 'deputy', 'rambo', 'sheriff']"
Don Scardino,30000000.0,['Comedy'],Steve Buscemi,The Incredible Burt Wonderstone ,"['magic', 'magic kit', 'magician', 'stage magician', 'vegas']",PG-13,Comedy,17.2167079396,"['Don Scardino', 'Steve Buscemi', 'magic', 'magic', 'kit', 'magician', 'stage', 'magician', 'vegas']"
Alexander Witt,45000000.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",Milla Jovovich,Resident Evil: Apocalypse ,"['cover up', 'monster', 'strong female character', 'strong female lead', 'zombie apocalypse']",R,Horror,17.6221730477,"['Alexander Witt', 'Milla Jovovich', 'cover', 'up', 'monster', 'strong', 'female', 'character', 'strong', 'female', 'lead', 'zombie', 'apocalypse']"
Stanley Kubrick,2000000.0,"['Crime', 'Drama', 'Romance']",James Mason,Lolita ,"['lolita', 'nymphet', 'older man young girl relationship', 'professor', 'writer']",Not Rated,Crime,14.5086577385,"['Stanley Kubrick', 'James Mason', 'lolita', 'nymphet', 'older', 'man', 'young', 'girl', 'relationship', 'professor', 'writer']"
Roman Polanski,45000000.0,"['Mystery', 'Thriller']",Jim Belushi,The Ghost Writer ,"['british prime minister', 'death', 'island', 'memoir', 'writer']",PG-13,Mystery,17.6221730477,"['Roman Polanski', 'Jim Belushi', 'british', 'prime', 'minister', 'death', 'island', 'memoir', 'writer']"
Lawrence Kasdan,68000000.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",Morgan Freeman,Dreamcatcher ,"['alien', 'friend', 'maine', 'military', 'woods']",R,Horror,18.0350182631,"['Lawrence Kasdan', 'Morgan Freeman', 'alien', 'friend', 'maine', 'military', 'woods']"
John Lee Hancock,107000000.0,"['Drama', 'History', 'War', 'Western']",Dennis Quaid,The Alamo ,"['army', 'dictator', 'general', 'texan', 'texas']",PG-13,War,18.4883393924,"['John Lee Hancock', 'Dennis Quaid', 'army', 'dictator', 'general', 'texan', 'texas']"
Sergio Leone,30000000.0,"['Crime', 'Drama']",Robert De Niro,Once Upon a Time in America ,"['1920s', 'ambiguity', 'childhood friend', 'new york', 'speakeasy']",R,Crime,17.2167079396,"['Sergio Leone', 'Robert De Niro', '1920s', 'ambiguity', 'childhood', 'friend', 'new', 'york', 'speakeasy']"
Dennis Dugan,80000000.0,"['Comedy', 'Romance']",Adam Sandler,Just Go with It ,"['chick flick', 'hawaii', 'love', 'plastic surgeon', 'woman wearing a string bikini']",PG-13,Rom-Com,18.1975371926,"['Dennis Dugan', 'Adam Sandler', 'chick', 'flick', 'hawaii', 'love', 'plastic', 'surgeon', 'woman', 'wearing', 'a', 'string', 'bikini']"
Marc Forster,30000000.0,"['Action', 'Biography', 'Crime', 'Drama']",Gerard Butler,Machine Gun Preacher ,"['africa', 'biker', 'church', 'orphanage', 'preacher']",R,Biography,17.2167079396,"['Marc Forster', 'Gerard Butler', 'africa', 'biker', 'church', 'orphanage', 'preacher']"
Kelly Asbury,80000000.0,"['Adventure', 'Animation', 'Family', 'Western']",Matt Damon,Spirit: Stallion of the Cimarron ,"['cavalry', 'escape', 'herd', 'stallion', 'wild stallion']",G,Western,18.1975371926,"['Kelly Asbury', 'Matt Damon', 'cavalry', 'escape', 'herd', 'stallion', 'wild', 'stallion']"
